Hotel ID,Hotel Name,Address,Country,Amenities,DescriptionEN,DescriptionFR
HOTEL0023,Alpine Crest Lodge,"153 Queen’s Road, Florence",n/a,"outdoor pool, fitness center, restaurant, balcony rooms, airport shuttle, laundry service, meeting rooms, complimentary breakfast, pet-friendly",n/a,n/a
HOTEL0024,Royal Meridian,"231 Elm Street, Birmingham",n/a,"heated pool, sauna, rooftop bar, spa, airport shuttle, concierge, meeting rooms, complimentary breakfast, free Wi-Fi",n/a,n/a
HOTEL0025,Solstice Bay Hotel,"194 Main Street, San Francisco",n/a,"infinity pool, fitness center, rooftop bar, spa, concierge, airport shuttle, conference center, free Wi-Fi, complimentary breakfast",n/a,n/a
HOTEL0026,The Copperleaf,"122 Pine Road, Cologne",n/a,"heated pool, gym, wine lounge, spa, room service, concierge, conference center, complimentary breakfast, free Wi-Fi",n/a,n/a
HOTEL0027,Crystal View Inn,"114 Station Avenue, Granada",n/a,"heated pool, sauna, wine lounge, jacuzzi, room service, laundry service, meeting rooms, on-site parking, free Wi-Fi",n/a,n/a
HOTEL0028,Eclipse Grand Hotel,"143 Pine Road, Turin",n/a,"indoor pool, gym, rooftop bar, garden terrace, laundry service, room service, business lounge, pet-friendly, complimentary breakfast",n/a,n/a
HOTEL0029,Amberlight Resort,"149 Queen’s Road, Liverpool",n/a,"indoor pool, yoga studio, wine lounge, jacuzzi, airport shuttle, room service, coworking space, free Wi-Fi, pet-friendly",n/a,n/a
HOTEL0030,Harborstone Suites,"191 Willow Way, Chicago",n/a,"infinity pool, fitness center, rooftop bar, garden terrace, airport shuttle, concierge, coworking space, free Wi-Fi, pet-friendly",n/a,n/a
HOTEL0031,Mountain Crest Lodge,"13 Oak Avenue, Stuttgart",n/a,"infinity pool, fitness center, wine lounge, garden terrace, concierge, airport shuttle, coworking space, free Wi-Fi, complimentary breakfast",n/a,n/a
HOTEL0032,Sapphire Bay Inn,"104 Queen’s Road, Bilbao",n/a,"outdoor pool, fitness center, café, jacuzzi, laundry service, airport shuttle, coworking space, pet-friendly, on-site parking",n/a,n/a
HOTEL0033,The Ironwood Hotel,"131 Broadway, Venice",n/a,"outdoor pool, fitness center, café, garden terrace, concierge, room service, meeting rooms, complimentary breakfast, free Wi-Fi",n/a,n/a
HOTEL0034,Cielo Verde Resort,"43 Cedar Street, Leeds",n/a,"indoor pool, gym, wine lounge, jacuzzi, concierge, room service, conference center, pet-friendly, on-site parking",n/a,n/a
HOTEL0035,Amberline Lodge,"169 Broadway, Boston",n/a,"heated pool, sauna, restaurant, garden terrace, room service, laundry service, business lounge, free Wi-Fi, pet-friendly",n/a,n/a
HOTEL0036,The Sandstone Retreat,"137 Hillcrest Drive, Frankfurt",n/a,"infinity pool, fitness center, wine lounge, garden terrace, airport shuttle, room service, conference center, pet-friendly, free Wi-Fi",n/a,n/a
HOTEL0037,Oakridge Manor,"253 Broadway, Alicante",n/a,"indoor pool, gym, restaurant, spa, room service, airport shuttle, conference center, on-site parking, free Wi-Fi",n/a,n/a
HOTEL0038,Marina Crest Hotel,"22 Highland Road, Verona",n/a,"indoor pool, sauna, café, balcony rooms, concierge, laundry service, conference center, pet-friendly, on-site parking",n/a,n/a
HOTEL0039,The Foxglove Inn,"218 Maple Lane, Glasgow",n/a,"outdoor pool, fitness center, café, jacuzzi, concierge, laundry service, coworking space, free Wi-Fi, on-site parking",n/a,n/a
HOTEL0040,Seaside Horizon Resort,"213 Ocean View, Washington",n/a,"indoor pool, fitness center, restaurant, garden terrace, laundry service, room service, coworking space, pet-friendly, on-site parking",n/a,n/a
HOTEL0041,Highland View Lodge,"216 Oak Avenue, Dresden",n/a,"infinity pool, fitness center, restaurant, balcony rooms, laundry service, room service, business lounge, pet-friendly, complimentary breakfast",n/a,n/a
HOTEL0042,Rosemont Grand,"80 Cedar Street, Malaga",n/a,"indoor pool, fitness center, café, balcony rooms, concierge, laundry service, meeting rooms, on-site parking, free Wi-Fi",n/a,n/a
HOTEL0043,Urban Sanctuary Hotel,"51 King Street, Pisa",n/a,"infinity pool, yoga studio, rooftop bar, jacuzzi, concierge, laundry service, business lounge, complimentary breakfast, on-site parking",n/a,n/a
HOTEL0044,The Pearlview Resort,"83 Park Avenue, Cambridge",n/a,"infinity pool, yoga studio, restaurant, garden terrace, airport shuttle, concierge, meeting rooms, on-site parking, pet-friendly",n/a,n/a
HOTEL0045,Coastal Edge Inn,"238 Hillcrest Drive, Dallas",n/a,"outdoor pool, sauna, wine lounge, garden terrace, laundry service, concierge, coworking space, free Wi-Fi, complimentary breakfast",n/a,n/a
HOTEL0046,Grand Luma Hotel,"85 Maple Lane, Hanover",n/a,"outdoor pool, yoga studio, wine lounge, balcony rooms, laundry service, concierge, coworking space, on-site parking, complimentary breakfast",n/a,n/a
HOTEL0047,The Verdant Retreat,"111 Maple Lane, Salamanca",n/a,"infinity pool, yoga studio, café, balcony rooms, laundry service, airport shuttle, meeting rooms, free Wi-Fi, complimentary breakfast",n/a,n/a
HOTEL0048,Azure Sky Suites,"148 Maple Lane, Genoa",n/a,"heated pool, gym, wine lounge, garden terrace, concierge, airport shuttle, business lounge, pet-friendly, complimentary breakfast",n/a,n/a
HOTEL0049,Valentina Resort,"210 Pine Road, Oxford",n/a,"heated pool, fitness center, rooftop bar, garden terrace, airport shuttle, laundry service, meeting rooms, free Wi-Fi, complimentary breakfast",n/a,n/a
HOTEL0050,Terra Solis Lodge,"201 Union Road, Atlanta",n/a,"indoor pool, sauna, café, balcony rooms, laundry service, room service, conference center, pet-friendly, free Wi-Fi",n/a,n/a
